"WEBIATORS", "WEBIATORS"
"Multichat On WhatsApp","Multichat On WhatsApp"
"General Settings", "General Settings"
"Enable Module", "Enable Module"
"Yes","Yes"
"No", "No"
"Upload brand logo","Upload brand logo"
"Top Header Text","Top Header Text"
"Choose one of our representatives below to chat on WhatsApp","Choose one of our representatives below to chat on WhatsApp"
"Select Position","Select Position"
"Select position of Multichat whatsApp icon","Select position of Multichat whatsApp icon"
"WhatsApp Icon Background Color","WhatsApp Icon Background Color"
"Set whatsApp icon background color","Set whatsApp icon background color"
"Set WhatsApp icon color","Set WhatsApp icon color"
"WhatsApp Icon Color","WhatsApp Icon Color"
"WhatsApp Agent Box Top Header Background Color","WhatsApp Agent Box Top Header Background Color"
"Set whatsApp agent box top header background color","Set whatsApp agent box top header background color"
"WhatsApp Agent Box Bubble Color","WhatsApp Agent Box Bubble Color"
"Set whatsApp agent box bubble color","Set whatsApp agent box bubble color"
"Select","Select"
"None","None"
"Bounce","Bounce"
"Rotate","Rotate"
"Wiggle","Wiggle"
"Pulse","Pulse"
"Zoom","Zoom"
"Wiggle On Hover","Wiggle On Hover"
"Pulse On Hover","Pulse On Hover"
"Bottom Left","Bottom Left"
"Webiators","Webiators"
"Manage Agent Grid","Manage Agent Grid"
"Add New","Add New"
"ID","ID"
"Agent Name","Agent Name"
"Agent Department","Agent Department"
"Default Message","Default Message"
"Mobile Number","Mobile Number"
"Profile Image","Profile Image"
"Status","Status"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Back","Back"
"Save","Save"
"Add New Agent","Add New Agent"
"General Information","General Information"
"Agent deleted successfully","Agent deleted successfully"
"Agent does not exist","Agent does not exist"
"Settings","Settings"
